Overall,attack,defence,strength,constitution,ranged,magic,cooking,woodcutting,fletching,fishing,firemaking,crafting,smithing,mining,herblore,agility,thieving,slayer,farming,runecrafting,hunter,construction,summoning,dungeoneering,divination,invention,archaeology,necromancy,date/time
357261339,8385149,12820885,6613961,29618689,13862936,9202334,13300887,1092947,2116989,4681559,1041850,865625,4660751,5393130,2429879,18296745,5639366,1484033,17410125,691670,3334821,2423349,5530582,10313179,3597762,3449112,68792493,48034618,18/09/2024 07:49:21
359916357,8666877,12829158,6864735,30110694,13862936,9202334,13302615,1092947,2116989,4681559,1041850,865625,4660751,5559858,2429879,18296745,5639366,1484033,17493328,691670,3334821,2423349,5530582,10322604,3776707,3449112,68956689,48034618,11/02/2026 18:52:12
359916357,8666877,12829158,6864735,30110694,13862936,9202334,13302615,1092947,2116989,4681559,1041850,865625,4660751,5559858,2429879,18296745,5639366,1484033,17493328,691670,3334821,2423349,5530582,10322604,3776707,3449112,68956689,48034618,11/02/2026 18:54:06
359916357,8666877,12829158,6864735,30110694,13862936,9202334,13302615,1092947,2116989,4681559,1041850,865625,4660751,5559858,2429879,18296745,5639366,1484033,17493328,691670,3334821,2423349,5530582,10322604,3776707,3449112,68956689,48034618,11/02/2026 18:58:56
359916357,8666877,12829158,6864735,30110694,13862936,9202334,13302615,1092947,2116989,4681559,1041850,865625,4660751,5559858,2429879,18296745,5639366,1484033,17493328,691670,3334821,2423349,5530582,10322604,3776707,3449112,68956689,48034618,11/02/2026 19:08:14
359916357,8666877,12829158,6864735,30110694,13862936,9202334,13302615,1092947,2116989,4681559,1041850,865625,4660751,5559858,2429879,18296745,5639366,1484033,17493328,691670,3334821,2423349,5530582,10322604,3776707,3449112,68956689,48034618,11/02/2026 19:19:20
359916357,8666877,12829158,6864735,30110694,13862936,9202334,13302615,1092947,2116989,4681559,1041850,865625,4660751,5559858,2429879,18296745,5639366,1484033,17493328,691670,3334821,2423349,5530582,10322604,3776707,3449112,68956689,48034618,11/02/2026 19:20:08
359916357,8666877,12829158,6864735,30110694,13862936,9202334,13302615,1092947,2116989,4681559,1041850,865625,4660751,5559858,2429879,18296745,5639366,1484033,17493328,691670,3334821,2423349,5530582,10322604,3776707,3449112,68956689,48034618,11/02/2026 19:21:07
359916357,8666877,12829158,6864735,30110694,13862936,9202334,13302615,1092947,2116989,4681559,1041850,865625,4660751,5559858,2429879,18296745,5639366,1484033,17493328,691670,3334821,2423349,5530582,10322604,3776707,3449112,68956689,48034618,11/02/2026 19:23:52
359916357,8666877,12829158,6864735,30110694,13862936,9202334,13302615,1092947,2116989,4681559,1041850,865625,4660751,5559858,2429879,18296745,5639366,1484033,17493328,691670,3334821,2423349,5530582,10322604,3776707,3449112,68956689,48034618,11/02/2026 19:42:08
