Overall,attack,defence,strength,constitution,ranged,magic,cooking,woodcutting,fletching,fishing,firemaking,crafting,smithing,mining,herblore,agility,thieving,slayer,farming,runecrafting,hunter,construction,summoning,dungeoneering,divination,invention,archaeology,necromancy,date/time
2623,94,98,92,99,99,95,99,73,80,88,73,71,88,90,82,102,90,77,101,69,85,82,90,96,85,85,115,112,18/09/2024 07:49:21
2624,94,98,92,99,99,95,99,73,80,88,73,71,88,90,82,102,90,77,101,69,85,82,90,96,86,85,115,112,11/02/2026 18:52:12
2624,94,98,92,99,99,95,99,73,80,88,73,71,88,90,82,102,90,77,101,69,85,82,90,96,86,85,115,112,11/02/2026 18:54:06
2624,94,98,92,99,99,95,99,73,80,88,73,71,88,90,82,102,90,77,101,69,85,82,90,96,86,85,115,112,11/02/2026 18:58:56
2624,94,98,92,99,99,95,99,73,80,88,73,71,88,90,82,102,90,77,101,69,85,82,90,96,86,85,115,112,11/02/2026 19:07:50
2624,94,98,92,99,99,95,99,73,80,88,73,71,88,90,82,102,90,77,101,69,85,82,90,96,86,85,115,112,11/02/2026 19:08:14
2624,94,98,92,99,99,95,99,73,80,88,73,71,88,90,82,102,90,77,101,69,85,82,90,96,86,85,115,112,11/02/2026 19:19:20
2624,94,98,92,99,99,95,99,73,80,88,73,71,88,90,82,102,90,77,101,69,85,82,90,96,86,85,115,112,11/02/2026 19:20:08
2624,94,98,92,99,99,95,99,73,80,88,73,71,88,90,82,102,90,77,101,69,85,82,90,96,86,85,115,112,11/02/2026 19:21:07
2624,94,98,92,99,99,95,99,73,80,88,73,71,88,90,82,102,90,77,101,69,85,82,90,96,86,85,115,112,11/02/2026 19:23:52
2624,94,98,92,99,99,95,99,73,80,88,73,71,88,90,82,102,90,77,101,69,85,82,90,96,86,85,115,112,11/02/2026 19:42:08
