Overall,attack,defence,strength,constitution,ranged,magic,cooking,woodcutting,fletching,fishing,firemaking,crafting,smithing,mining,herblore,agility,thieving,slayer,farming,runecrafting,hunter,construction,summoning,dungeoneering,divination,invention,archaeology,necromancy,date/time
205544,297376,294463,336220,166782,211953,278738,260425,443932,427585,299195,437484,483264,281528,292589,348707,159641,250024,294439,169783,340798,238350,268998,233394,233087,280619,253089,131866,100325,18/09/2024 07:49:21
217908,297224,299361,332814,165884,209264,288668,259958,455204,440185,312650,449308,492773,290062,299223,367600,167832,260066,311094,175710,356202,249894,277544,243602,239507,283639,266603,139102,108365,11/02/2026 18:52:12
217908,297225,299362,332815,165884,209265,288668,259958,455206,440187,312650,449310,492775,290062,299223,367600,167832,260067,311094,175710,356203,249894,277544,243602,239507,283639,266603,139102,108365,11/02/2026 18:54:06
217910,297227,299364,332817,165885,209267,288671,259961,455208,440190,312652,449314,492777,290064,299225,367602,167834,260069,311096,175712,356206,249896,277546,243604,239509,283641,266605,139105,108367,11/02/2026 18:58:56
217911,297228,299366,332818,165886,209267,288672,259962,455209,440191,312653,449315,492781,290065,299229,367604,167834,260070,311098,175712,356206,249896,277547,243605,239510,283642,266605,139105,108367,11/02/2026 19:07:50
217911,297228,299366,332818,165886,209267,288672,259962,455210,440191,312653,449316,492781,290065,299229,367604,167834,260070,311098,175712,356206,249896,277547,243605,239510,283642,266605,139105,108367,11/02/2026 19:08:14
217916,297235,299373,332825,165890,209273,288678,259969,455217,440198,312659,449322,492789,290071,299236,367611,167838,260076,311104,175716,356214,249902,277554,243609,239517,283648,266611,139109,108371,11/02/2026 19:19:20
217916,297235,299373,332825,165890,209273,288678,259969,455217,440198,312659,449322,492789,290071,299236,367611,167838,260076,311104,175716,356214,249902,277554,243609,239517,283648,266611,139109,108371,11/02/2026 19:20:08
217916,297235,299373,332825,165890,209273,288678,259969,455218,440198,312659,449322,492790,290071,299236,367611,167838,260076,311104,175716,356215,249902,277555,243609,239517,283648,266611,139109,108371,11/02/2026 19:21:07
217917,297235,299374,332825,165890,209274,288678,259969,455223,440200,312660,449323,492792,290072,299237,367612,167838,260077,311104,175716,356215,249903,277557,243609,239518,283648,266612,139109,108371,11/02/2026 19:23:52
217919,297239,299376,332829,165891,209276,288680,259971,455226,440203,312662,449326,492795,290075,299240,367616,167837,260081,311109,175717,356221,249906,277559,243610,239520,283649,266614,139109,108370,11/02/2026 19:42:08
